protein	acc	hit	species	domain	phylum	category	length	score	align_length	num_prots	prot_ids	protein_locs
ADL59018.1	GCA_000145295.1_ASM14529v1	Methanothermobacter marburgensis str. Marburg	Archaea	Euryarchaeota	COG0085	SECO	514	321.3	447	1	1	1
ADL59019.1	GCA_000145295.1_ASM14529v1	Methanothermobacter marburgensis str. Marburg	Archaea	Euryarchaeota	COG0085	MAIN	603	718.4	1045	2	ADL59018.1;ADL59019.1	298.5;818.0
JMFO01000034.1_11	GCA_000714715.1_Draft_genome_of_Candidatus_Magnetobacterium_casensis	Candidatus Magnetobacterium casensis	Bacteria	Nitrospirae	COG0085	PRIMARY	2711	3085.0	2493	1	JMFO01000034.1_11	1313.5
AEB94144.1	GCA_000204925.1_ASM20492v1	Metallosphaera cuprina Ar-4	Archaea	TACK group	COG0085	PRIMARY	1124	1051.7	1045	1	AEB94144.1	598.5
AEB94792.1	GCA_000204925.1_ASM20492v1	Metallosphaera cuprina Ar-4	Archaea	TACK group	COG0085	NEXT	228	12.5	50	1	1	1
SDX91991.1	GCA_900107205.1_IMG-taxon_2654587885_annotated_assembly	Halopenitus persicus	Archaea	Euryarchaeota	COG0085	MAIN	609	643.8	1043	2	SDX92013.1;SDX91991.1	295.5;817.5
SDX92013.1	GCA_900107205.1_IMG-taxon_2654587885_annotated_assembly	Halopenitus persicus	Archaea	Euryarchaeota	COG0085	SECO	521	300.6	439	1	1	1
LT900217.1_1968	GCA_900199375.1_G142160_polished_assembly_ID17483	Gordonibacter urolithinfaciens	Bacteria	Terrabacteria group	COG0085	PRIMARY	1180	2074.8	1090	1	LT900217.1_1968	609.0
OHA52954.1	GCA_001822895.1_ASM182289v1	Candidatus Terrybacteria bacterium RIFCSPLOWO2_01_FULL_40_23	Bacteria	unclassified Bacteria	COG0085	PRIMARY	1068	1838.1	1049	1	OHA52954.1	592.5
KKR17915.1	GCA_000995065.1_ASM99506v1	candidate division CPR2 bacterium GW2011_GWC2_39_35	Bacteria	unclassified Bacteria	COG0085	PRIMARY	1202	1939.7	1088	1	KKR17915.1	608.0
ASJ88955.1	GCA_002215425.1_ASM221542v1	Candidatus Mycoplasma girerdii	Bacteria	Terrabacteria group	COG0085	PRIMARY	1431	1593.1	1088	1	ASJ88955.1	600.0
APT76523.1	GCA_001941525.1_ASM194152v1	Marinitoga sp. 1137	Bacteria	Thermotogae	COG0085	PRIMARY	1202	1794.1	1064	1	APT76523.1	594.0
CEF17119.1	GCA_900002515.1_1BCEVAC	Chlamydia abortus	Bacteria	PVC group	COG0085	PRIMARY	1252	2007.6	1047	1	CEF17119.1	591.5
AKE40521.1	GCA_000980835.1_ASM98083v1	Corynebacterium kutscheri	Bacteria	Terrabacteria group	COG0085	PRIMARY	1158	2033.5	1073	1	AKE40521.1	598.5
AKP69857.1	GCA_001051075.1_ASM105107v1	Riemerella anatipestifer	Bacteria	FCB group	COG0085	PRIMARY	1275	1972.5	1057	1	AKP69857.1	587.5
BAP17258.1	GCA_000829235.1_ASM82923v1	cyanobacterium endosymbiont of Epithemia turgida isolate EtSB Lake Yunoko	Bacteria	Terrabacteria group	COG0085	MAIN	1102	2006.0	2387	2	BAP17973.1;BAP17258.1	2318.0;604.0
BAP17973.1	GCA_000829235.1_ASM82923v1	cyanobacterium endosymbiont of Epithemia turgida isolate EtSB Lake Yunoko	Bacteria	Terrabacteria group	COG0085	SECO	361	3.6	300	1	1	1
JOMF01000005.1_54	GCA_000711215.1_ASM71121v1	Methanomicrobium mobile BP	Archaea	Euryarchaeota	COG0085	SECO	520	293.7	436	1	1	1
JOMF01000005.1_55	GCA_000711215.1_ASM71121v1	Methanomicrobium mobile BP	Archaea	Euryarchaeota	COG0085	MAIN	609	662.4	1039	2	JOMF01000005.1_54;JOMF01000005.1_55	299.0;844.0
AEL26321.1	GCA_000222485.1_ASM22248v1	Cyclobacterium marinum DSM 745	Bacteria	FCB group	COG0085	PRIMARY	1291	1968.4	1051	1	AEL26321.1	589.5
OLC93301.1	GCA_001918475.1_ASM191847v1	Thaumarchaeota archaeon 13_1_40CM_3_38_6	Archaea	TACK group	COG0085	PRIMARY	1115	993.0	1049	1	OLC93301.1	593.5
ASJ08758.1	GCA_002214505.1_ASM221450v1	Thermococcus siculi	Archaea	Euryarchaeota	COG0085	PRIMARY	1122	1083.1	1038	1	ASJ08758.1	598.0
KKW38620.1	GCA_001004775.1_ASM100477v1	Candidatus Peribacteria bacterium GW2011_GWC2_54_8	Bacteria	unclassified Bacteria	COG0085	NEXT	227	10.9	75	1	1	1
KKW40801.1	GCA_001004775.1_ASM100477v1	Candidatus Peribacteria bacterium GW2011_GWC2_54_8	Bacteria	unclassified Bacteria	COG0085	PRIMARY	1295	1854.8	1136	1	KKW40801.1	635.0
OGL51613.1	GCA_001790865.1_ASM179086v1	Candidatus Schekmanbacteria bacterium RIFCSPLOWO2_12_FULL_38_15	Bacteria	unclassified Bacteria	COG0085	PRIMARY	1497	2099.0	1053	1	OGL51613.1	591.5
OVE74537.1	GCA_002176885.1_ASM217688v1	archaeon D22	Archaea	unclassified Archaea	COG0085	SECO	495	238.3	445	1	1	1
OVE74538.1	GCA_002176885.1_ASM217688v1	archaeon D22	Archaea	unclassified Archaea	COG0085	MAIN	600	537.6	1044	2	OVE74537.1;OVE74538.1	297.5;821.0
DACV01000003.1_208	GCA_002494885.1_ASM249488v1	Methanobacterium sp. UBA44	Archaea	Euryarchaeota	COG0085	SECO	497	312.4	445	1	1	1
DACV01000003.1_209	GCA_002494885.1_ASM249488v1	Methanobacterium sp. UBA44	Archaea	Euryarchaeota	COG0085	MAIN	605	688.9	1042	2	DACV01000003.1_208;DACV01000003.1_209	299.5;817.5
DKAE01000021.1_1	GCA_002450735.1_ASM245073v1	Gemmatimonadales bacterium UBA6934	Bacteria	FCB group	COG0085	PRIMARY	1125	1675.7	895	1	DKAE01000021.1_1	516.5
DKAE01000031.1_1	GCA_002450735.1_ASM245073v1	Gemmatimonadales bacterium UBA6934	Bacteria	FCB group	COG0085	NEXT	227	328.2	151	1	1	1
AEM79611.1	GCA_000147695.3_ASM14769v3	Thermoanaerobacter wiegelii Rt8.B1	Bacteria	Terrabacteria group	COG0085	PRIMARY	1239	2265.6	1097	1	AEM79611.1	612.5
BAS31648.1	GCA_001547795.1_ASM154779v1	Dehalococcoides mccartyi IBARAKI	Bacteria	Terrabacteria group	COG0085	PRIMARY	1273	2003.2	1086	1	BAS31648.1	608.0
ADQ68367.1	GCA_000172995.2_ASM17299v2	Halogeometricum borinquense DSM 11551	Archaea	Euryarchaeota	COG0085	SECO	523	296.4	446	1	1	1
ADQ68366.1	GCA_000172995.2_ASM17299v2	Halogeometricum borinquense DSM 11551	Archaea	Euryarchaeota	COG0085	MAIN	610	655.9	1050	2	ADQ68367.1;ADQ68366.1	292.0;817.5
DKBK01000013.1_8	GCA_002451135.1_ASM245113v1	Nitrospiraceae bacterium UBA6902	Bacteria	Nitrospirae	COG0085	NEXT	241	304.9	201	1	1	1
DKBK01000027.1_4	GCA_002451135.1_ASM245113v1	Nitrospiraceae bacterium UBA6902	Bacteria	Nitrospirae	COG0085	MAIN	504	835.6	848	2	DKBK01000027.1_5;DKBK01000027.1_4	489.5;940.5
DKBK01000027.1_5	GCA_002451135.1_ASM245113v1	Nitrospiraceae bacterium UBA6902	Bacteria	Nitrospirae	COG0085	SECO	487	828.0	421	1	1	1
ADQ83497.1	GCA_000183115.1_ASM18311v1	Methylovorus sp. MP688	Bacteria	Proteobacteria	COG0085	PRIMARY	1390	2086.0	1053	1	ADQ83497.1	589.5
DBDS01000007.1_5	GCA_002293685.1_ASM229368v1	Patescibacteria group bacterium UBA926	Bacteria	unclassified Bacteria	COG0085	PRIMARY	1165	1893.1	1072	1	DBDS01000007.1_5	601.0
SFL20220.1	GCA_900114585.1_IMG-taxon_2593339150_annotated_assembly	Methanobrevibacter olleyae	Archaea	Euryarchaeota	COG0085	SECO	519	324.5	452	1	1	1
SFL20191.1	GCA_900114585.1_IMG-taxon_2593339150_annotated_assembly	Methanobrevibacter olleyae	Archaea	Euryarchaeota	COG0085	MAIN	603	693.7	1049	2	SFL20220.1;SFL20191.1	296.0;817.5
LCTF01000011.1_53	GCA_001663375.1_ASM166337v1	Caldivirga sp. MU80	Archaea	TACK group	COG0085	PRIMARY	1132	1014.3	1045	1	LCTF01000011.1_53	595.5
AKV71154.1	GCA_001264245.1_ASM126424v1	Microcystis panniformis FACHB-1757	Bacteria	Terrabacteria group	COG0085	PRIMARY	1103	2012.8	1047	1	AKV71154.1	604.5
DFOX01000002.1_56	GCA_002376945.1_ASM237694v1	Patescibacteria group bacterium UBA3530	Bacteria	unclassified Bacteria	COG0085	PRIMARY	1058	1726.5	1052	1	DFOX01000002.1_56	595.0
ACD28436.1	GCA_000020205.1_ASM2020v1	Ralstonia pickettii 12J	Bacteria	Proteobacteria	COG0085	PRIMARY	1368	2077.1	1054	1	ACD28436.1	590.0
CAP15004.1	GCA_000069025.1_ASM6902v1	Halobacterium salinarum R1	Archaea	Euryarchaeota	COG0085	MAIN	608	650.7	1040	2	CAP15005.1;CAP15004.1	297.0;817.0
CAP15005.1	GCA_000069025.1_ASM6902v1	Halobacterium salinarum R1	Archaea	Euryarchaeota	COG0085	SECO	523	299.4	436	1	1	1
LUYE01000015.1_45	GCA_001602645.1_ASM160264v1	Methanosarcinales archaeon Methan_01	Archaea	Euryarchaeota	COG0085	MAIN	605	652.2	1037	2	LUYE01000015.1_44;LUYE01000015.1_45	298.5;827.0
LUYE01000015.1_44	GCA_001602645.1_ASM160264v1	Methanosarcinales archaeon Methan_01	Archaea	Euryarchaeota	COG0085	SECO	497	318.6	433	1	1	1
KYK37084.1	GCA_001595815.1_ASM159581v1	Theionarchaea archaeon DG-70-1	Archaea	Euryarchaeota	COG0085	PRIMARY	1103	976.9	1043	1	KYK37084.1	596.5
AII59283.1	GCA_000830905.1_ASM83090v1	Dehalococcoides mccartyi CG4	Bacteria	Terrabacteria group	COG0085	PRIMARY	1272	2006.2	1095	1	AII59283.1	612.5
AOV99201.1	GCA_001761445.1_ASM176144v1	Dehalococcoides mccartyi	Bacteria	Terrabacteria group	COG0085	PRIMARY	1273	2002.0	1094	1	AOV99201.1	612.0
SBV34351.1	GCA_900078365.1_SPPYR_PRJEB13037v1	uncultured Sphingopyxis sp.	Bacteria	Proteobacteria	COG0085	PRIMARY	1392	2192.7	1061	1	SBV34351.1	591.5
LKMX01000009.1_6	GCA_001564035.1_ASM156403v1	Nanohaloarchaea archaeon PL-Br10_U2g27	Archaea	DPANN group	COG0085	SECO	486	264.6	441	1	1	1
LKMX01000009.1_7	GCA_001564035.1_ASM156403v1	Nanohaloarchaea archaeon PL-Br10_U2g27	Archaea	DPANN group	COG0085	MAIN	597	557.4	1039	2	LKMX01000009.1_6;LKMX01000009.1_7	299.5;819.5
FJNF01000183.1_1	GCA_900069765.1_ASM90006976v1	Archaeoglobus fulgidus	Archaea	Euryarchaeota	COG0085	NEXT	128	64.7	94	1	1	1
FJNF01000184.1_1	GCA_900069765.1_ASM90006976v1	Archaeoglobus fulgidus	Archaea	Euryarchaeota	COG0085	PRIMARY	405	620.0	394	1	FJNF01000184.1_1	922.0
FJNF01000181.1_3	GCA_900069765.1_ASM90006976v1	Archaeoglobus fulgidus	Archaea	Euryarchaeota	COG0085	NEXT	166	54.4	100	1	1	1
FJNF01000182.1_1	GCA_900069765.1_ASM90006976v1	Archaeoglobus fulgidus	Archaea	Euryarchaeota	COG0085	NEXT	339	244.6	342	1	1	1
OGJ54717.1	GCA_001787485.1_ASM178748v1	Candidatus Peribacteria bacterium RIFCSPHIGHO2_01_FULL_49_38	Bacteria	unclassified Bacteria	COG0085	PRIMARY	1312	1830.2	1114	1	OGJ54717.1	613.0
AGS39074.1	GCA_000442595.1_ASM44259v1	Cycloclasticus zancles 78-ME	Bacteria	Proteobacteria	COG0085	PRIMARY	1359	2114.1	1054	1	AGS39074.1	590.0
EQB74329.1	GCA_000496155.1_fer2	Ferroplasma sp. Type II	Archaea	Euryarchaeota	COG0085	PRIMARY	1195	994.9	1039	1	EQB74329.1	599.5
KE386573.1_2973	GCA_000427685.1_ASM42768v1	Haloplanus natans DSM 17983	Archaea	Euryarchaeota	COG0085	MAIN	609	651.4	1051	2	KE386573.1_2974;KE386573.1_2973	291.5;817.0
KE386573.1_2974	GCA_000427685.1_ASM42768v1	Haloplanus natans DSM 17983	Archaea	Euryarchaeota	COG0085	SECO	520	298.8	447	1	1	1
BAI69318.1	GCA_000010785.1_ASM1078v1	Hydrogenobacter thermophilus TK-6	Bacteria	Aquificae	COG0085	PRIMARY	1469	1882.2	1060	1	BAI69318.1	599.0
AXWL01000006.1_4	GCA_000484975.1_ASM48497v1	Thaumarchaeota archaeon SCGC AAA282-K18	Archaea	TACK group	COG0085	PRIMARY	1116	966.2	1048	1	AXWL01000006.1_4	595.0
LT635772.1_54	GCA_900128415.1_PRJEB15655	Anaerococcus mediterraneensis	Bacteria	Terrabacteria group	COG0085	PRIMARY	1231	2072.2	1110	1	LT635772.1_54	614.0
AAY80073.1	GCA_000012285.1_ASM1228v1	Sulfolobus acidocaldarius DSM 639	Archaea	TACK group	COG0085	PRIMARY	1126	1038.6	1046	1	AAY80073.1	597.0
DLOW01000028.1_31	GCA_002479745.1_ASM247974v1	candidate division Hyd24-12 bacterium UBA7474	Bacteria	unclassified Bacteria	COG0085	MAIN	715	1165.6	1051	2	DLOW01000028.1_30;DLOW01000028.1_31	271.5;827.5
DLOW01000028.1_30	GCA_002479745.1_ASM247974v1	candidate division Hyd24-12 bacterium UBA7474	Bacteria	unclassified Bacteria	COG0085	SECO	601	546.4	405	1	1	1
AQU77270.1	GCA_002009215.1_ASM200921v1	Mycoplasma capricolum subsp. capripneumoniae	Bacteria	Terrabacteria group	COG0085	PRIMARY	1287	1884.3	1073	1	AQU77270.1	599.5
KKS28152.1	GCA_000997795.1_ASM99779v1	candidate division WWE3 bacterium GW2011_GWC1_42_102	Bacteria	unclassified Bacteria	COG0085	PRIMARY	1100	1586.5	1065	1	KKS28152.1	601.5
KYC57126.1	GCA_001587605.1_ASM158760v1	Arc I group archaeon ADurb1113_Bin01801	Archaea	Euryarchaeota	COG0085	PRIMARY	1104	990.8	1046	1	KYC57126.1	596.0
AKM83009.1	GCA_001029755.1_ASM102975v1	Candidatus Woesebacteria bacterium GW2011_GWF1_31_35	Bacteria	unclassified Bacteria	COG0085	PRIMARY	1120	1657.8	1061	1	AKM83009.1	595.5
ADL53411.1	GCA_000145275.1_ASM14527v1	Clostridium cellulovorans 743B	Bacteria	Terrabacteria group	COG0085	PRIMARY	1239	2172.0	1071	1	ADL53411.1	599.5
AAM84073.1	GCA_000006645.1_ASM664v1	Yersinia pestis KIM10+	Bacteria	Proteobacteria	COG0085	PRIMARY	1342	2143.5	1054	1	AAM84073.1	590.0
SFS38381.1	GCA_900116205.1_IMG-taxon_2639762563_annotated_assembly	Halostagnicola kamekurae	Archaea	Euryarchaeota	COG0085	SECO	526	302.4	449	1	1	1
SFS38407.1	GCA_900116205.1_IMG-taxon_2639762563_annotated_assembly	Halostagnicola kamekurae	Archaea	Euryarchaeota	COG0085	MAIN	609	658.4	1052	2	SFS38381.1;SFS38407.1	290.5;817.0
ERH02679.1	GCA_000416025.1_HN6_031912	Halonotius sp. J07HN6	Archaea	Euryarchaeota	COG0085	MAIN	608	645.7	1050	2	ERH02680.1;ERH02679.1	292.0;817.5
ERH02680.1	GCA_000416025.1_HN6_031912	Halonotius sp. J07HN6	Archaea	Euryarchaeota	COG0085	SECO	522	285.2	446	1	1	1
KON30696.1	GCA_001273375.1_ASM127337v1	miscellaneous Crenarchaeota group archaeon SMTZ1-55	Archaea	TACK group	COG0085	PRIMARY	1114	973.7	1039	1	KON30696.1	597.5
EHM13470.1	GCA_000237805.1_ASM23780v1	Jonquetella anthropi DSM 22815	Bacteria	Synergistetes	COG0085	PRIMARY	1231	1873.7	1139	1	EHM13470.1	633.5
ACL11701.1	GCA_000020905.1_ASM2090v1	Desulfurococcus amylolyticus 1221n	Archaea	TACK group	COG0085	PRIMARY	1149	1046.3	1041	1	ACL11701.1	598.5
OLB46566.1	GCA_001915065.1_ASM191506v1	archaeon 13_2_20CM_2_53_6	Archaea	unclassified Archaea	COG0085	PRIMARY	1115	985.1	1044	1	OLB46566.1	597.0
AHJT01000001.1_2111	GCA_000245275.2_ASM24527v2	Sulfolobus islandicus M.16.47	Archaea	TACK group	COG0085	PRIMARY	1129	1072.9	1050	1	AHJT01000001.1_2111	595.0
EGN63382.1	GCA_000218645.2_Fusobacterium_sp_21_1A_V3	Fusobacterium nucleatum subsp. animalis 21_1A	Bacteria	Fusobacteria	COG0085	PRIMARY	1184	1984.7	1069	1	EGN63382.1	601.5
ELY50706.1	GCA_000337715.1_ASM33771v1	Natronorubrum bangense JCM 10635	Archaea	Euryarchaeota	COG0085	MAIN	609	662.5	1052	2	ELY50705.1;ELY50706.1	291.0;817.0
ELY50705.1	GCA_000337715.1_ASM33771v1	Natronorubrum bangense JCM 10635	Archaea	Euryarchaeota	COG0085	SECO	526	301.0	448	1	1	1
OUV27507.1	GCA_002171445.1_ASM217144v1	Euryarchaeota archaeon TMED97	Archaea	Euryarchaeota	COG0085	PRIMARY	1228	897.7	1041	1	OUV27507.1	599.5
KYH37886.1	GCA_001593865.1_ASM159386v1	Candidatus Bathyarchaeota archaeon B24	Archaea	TACK group	COG0085	PRIMARY	1100	1004.6	1042	1	KYH37886.1	598.0
AFW96467.1	GCA_000312705.1_ASM31270v1	Anabaena sp. 90	Bacteria	Terrabacteria group	COG0085	PRIMARY	1112	2021.9	1050	1	AFW96467.1	601.0
EGG42088.1	GCA_000204585.1_ASM20458v1	Candidatus Nitrosoarchaeum limnia SFB1	Archaea	TACK group	COG0085	PRIMARY	1115	982.0	1048	1	EGG42088.1	594.0
KYK26498.1	GCA_001595805.1_ASM159580v1	Thermoplasmatales archaeon SG8-52-1	Archaea	Euryarchaeota	COG0085	PRIMARY	1120	970.8	1037	1	KYK26498.1	598.5
AFY44624.1	GCA_000316625.1_ASM31662v1	Nostoc sp. PCC 7107	Bacteria	Terrabacteria group	COG0085	PRIMARY	1099	2019.5	1047	1	AFY44624.1	602.5
ASKJ01000073.1_2	GCA_000399785.1_ASM39978v1	BRC1 bacterium SCGC AAA252-M09	Bacteria	unclassified Bacteria	COG0085	PRIMARY	1059	1760.4	859	1	ASKJ01000073.1_2	707.5
SFR32692.1	GCA_900111935.1_IMG-taxon_2617270732_annotated_assembly	Halorubrum sodomense	Archaea	Euryarchaeota	COG0085	SECO	521	296.8	439	1	1	1
SFR32700.1	GCA_900111935.1_IMG-taxon_2617270732_annotated_assembly	Halorubrum sodomense	Archaea	Euryarchaeota	COG0085	MAIN	609	639.5	1043	2	SFR32692.1;SFR32700.1	295.5;817.0
KPU81155.1	GCA_001321845.1_ASM132184v1	Nitrosopumilus sp. PRT-SC01	Archaea	TACK group	COG0085	PRIMARY	1115	969.6	1048	1	KPU81155.1	595.0
BAD04345.1	GCA_000009845.1_ASM984v1	Onion yellows phytoplasma OY-M	Bacteria	Terrabacteria group	COG0085	PRIMARY	1273	1820.6	1069	1	BAD04345.1	594.5
KHO54685.1	GCA_000806155.1_ASM80615v1	archaeon GW2011_AR18	Archaea	unclassified Archaea	COG0085	SECO	496	253.8	441	1	1	1
KHO54684.1	GCA_000806155.1_ASM80615v1	archaeon GW2011_AR18	Archaea	unclassified Archaea	COG0085	MAIN	600	556.3	1038	2	KHO54685.1;KHO54684.1	299.5;844.5
CAB49536.1	GCA_000195935.2_ASM19593v2	Pyrococcus abyssi GE5	Archaea	Euryarchaeota	COG0085	PRIMARY	1117	1099.9	1041	1	CAB49536.1	597.5
DJWF01000067.1_5	GCA_002441495.1_ASM244149v1	Synergistaceae bacterium UBA6237	Bacteria	Synergistetes	COG0085	PRIMARY	1211	1986.0	1100	1	DJWF01000067.1_5	614.0
ABR30369.1	GCA_000016905.1_ASM1690v1	Thermosipho melanesiensis BI429	Bacteria	Thermotogae	COG0085	PRIMARY	1172	1855.6	1064	1	ABR30369.1	595.0
EQB68240.1	GCA_001856845.1_amd_g-plasma	Thermoplasmatales archaeon Gpl	Archaea	Euryarchaeota	COG0085	PRIMARY	1200	988.3	1040	1	EQB68240.1	598.0
AFS53798.1	GCA_000299235.1_ASM29923v1	Leptospirillum ferriphilum ML-04	Bacteria	Nitrospirae	COG0085	PRIMARY	1718	2062.4	1055	1	AFS53798.1	591.5
DJMO01000061.1_1	GCA_002435405.1_ASM243540v1	Nitrospira sp. UBA6488	Bacteria	Nitrospirae	COG0085	PRIMARY	573	750.5	438	1	DJMO01000061.1_1	286.0
OUJ18936.1	GCA_002153915.1_ASM215391v1	Methanonatronarchaeum thermophilum	Archaea	Euryarchaeota	COG0085	MAIN	604	677.7	1048	2	OUJ18937.1;OUJ18936.1	293.0;817.5
OUJ18937.1	GCA_002153915.1_ASM215391v1	Methanonatronarchaeum thermophilum	Archaea	Euryarchaeota	COG0085	SECO	497	319.9	444	1	1	1
AEI14144.1	GCA_000218625.1_ASM21862v1	Flexistipes sinusarabici DSM 4947	Bacteria	Deferribacteres	COG0085	PRIMARY	1323	2086.4	1065	1	AEI14144.1	595.5
ASI99852.1	GCA_002214365.1_ASM221436v1	Thermococcus celer	Archaea	Euryarchaeota	COG0085	PRIMARY	1122	1084.8	1039	1	ASI99852.1	598.5
AID87762.1	GCA_000714655.1_ASM71465v1	Klebsiella oxytoca KONIH1	Bacteria	Proteobacteria	COG0085	PRIMARY	1342	2146.9	1055	1	AID87762.1	590.5
LUPB01000039.1_35	GCA_001627235.1_ASM162723v1	Nitrosopelagicus sp. REDSEA-S31_B2	Archaea	TACK group	COG0085	PRIMARY	420	575.1	399	1	LUPB01000039.1_35	919.5
LUPB01000001.1_8	GCA_001627235.1_ASM162723v1	Nitrosopelagicus sp. REDSEA-S31_B2	Archaea	TACK group	COG0085	NEXT	836	542.7	779	1	1	1
ASLU01000009.1_22	GCA_000398485.1_ASM39848v1	Aigarchaeota archaeon SCGC AAA471-E16	Archaea	TACK group	COG0085	PRIMARY	479	543.3	524	1	ASLU01000009.1_22	857.0
AFT93332.1	GCA_000168775.2_ASM16877v2	Francisella tularensis subsp. holarctica FSC200	Bacteria	Proteobacteria	COG0085	PRIMARY	1358	2003.9	1055	1	AFT93332.1	590.5
CDG64345.1	GCA_000499765.1_Methanobacterium	Methanobacterium sp. MB1	Archaea	Euryarchaeota	COG0085	MAIN	603	698.6	1044	2	CDG64344.1;CDG64345.1	299.0;822.0
CDG64344.1	GCA_000499765.1_Methanobacterium	Methanobacterium sp. MB1	Archaea	Euryarchaeota	COG0085	SECO	496	310.9	446	1	1	1
AMV34035.1	GCA_001610875.1_ASM161087v1	Pirellula sp. SH-Sr6A	Bacteria	PVC group	COG0085	PRIMARY	1239	1850.8	1048	1	AMV34035.1	593.0
SDT86306.1	GCA_900105685.1_IMG-taxon_2690315640_annotated_assembly	Verrucomicrobiaceae bacterium GAS474	Bacteria	PVC group	COG0085	PRIMARY	1282	2026.4	1054	1	SDT86306.1	592.0
OLS33041.1	GCA_001940755.1_ASM194075v1	Candidatus Heimdallarchaeota archaeon AB_125	Archaea	Asgard group	COG0085	PRIMARY	1132	988.8	1054	1	OLS33041.1	592.0
AWNK01000014.1_20	GCA_000469585.1_Chrysiogenes_arsenatis	Chrysiogenes arsenatis DSM 11915	Bacteria	Chrysiogenetes	COG0085	PRIMARY	1363	2170.5	1069	1	AWNK01000014.1_20	594.5
OQX89379.1	GCA_002085385.1_ASM208538v1	candidate division Zixibacteria bacterium 4484_93	Bacteria	FCB group	COG0085	PRIMARY	1285	1949.2	1056	1	OQX89379.1	592.0
AKE65257.1	GCA_000981785.1_ASM98178v1	Microcystis aeruginosa NIES-2549	Bacteria	Terrabacteria group	COG0085	PRIMARY	1103	2012.1	1047	1	AKE65257.1	604.5
OYT36857.1	GCA_002254395.1_ASM225439v1	Candidatus Pacearchaeota archaeon ex4484_71	Archaea	DPANN group	COG0085	PRIMARY	1082	786.5	1041	1	OYT36857.1	598.5
AOW95631.1	GCA_001767415.1_ASM176741v1	Borrelia miyamotoi	Bacteria	Spirochaetes	COG0085	PRIMARY	1155	1930.1	1059	1	AOW95631.1	601.5
AFU74684.1	GCA_000304735.1_ASM30473v1	Borrelia afzelii HLJ01	Bacteria	Spirochaetes	COG0085	PRIMARY	1155	1932.6	1058	1	AFU74684.1	602.0
KB905378.1_652	GCA_000379085.1_ASM37908v1	Halomicrobium katesii DSM 19301	Archaea	Euryarchaeota	COG0085	MAIN	609	660.5	1042	2	KB905378.1_653;KB905378.1_652	296.0;817.5
KB905378.1_653	GCA_000379085.1_ASM37908v1	Halomicrobium katesii DSM 19301	Archaea	Euryarchaeota	COG0085	SECO	521	291.0	438	1	1	1
CAH19523.1	GCA_000047365.1_ASM4736v1	Yersinia pseudotuberculosis IP 32953	Bacteria	Proteobacteria	COG0085	PRIMARY	1342	2143.5	1054	1	CAH19523.1	590.0
AJF62032.1	GCA_000830295.1_ASM83029v1	archaeon GW2011_AR15	Archaea	unclassified Archaea	COG0085	MAIN	600	549.8	1044	2	AJF62031.1;AJF62032.1	297.5;852.0
AJF62031.1	GCA_000830295.1_ASM83029v1	archaeon GW2011_AR15	Archaea	unclassified Archaea	COG0085	SECO	493	250.5	445	1	1	1
KL543983.1_124	GCA_000711905.1_ASM71190v1	Methermicoccus shengliensis DSM 18856	Archaea	Euryarchaeota	COG0085	MAIN	613	669.0	1038	2	KL543983.1_125;KL543983.1_124	298.0;830.5
KL543983.1_125	GCA_000711905.1_ASM71190v1	Methermicoccus shengliensis DSM 18856	Archaea	Euryarchaeota	COG0085	SECO	496	320.9	434	1	1	1
PDH25347.1	GCA_002457595.1_ASM245759v1	Marine Group II euryarchaeote MED-G36	Archaea	Euryarchaeota	COG0085	PRIMARY	1235	867.8	1041	1	PDH25347.1	599.5
DIXJ01000011.1_138	GCA_002436015.1_ASM243601v1	Synergistaceae bacterium UBA6083	Bacteria	Synergistetes	COG0085	PRIMARY	1207	1984.0	1069	1	DIXJ01000011.1_138	598.5
OGS38599.1	GCA_001800635.1_ASM180063v1	Elusimicrobia bacterium RIFOXYD2_FULL_34_30	Bacteria	Elusimicrobia	COG0085	PRIMARY	1227	1891.3	1049	1	OGS38599.1	592.5
AKE30123.1	GCA_000978575.1_ASM97857v1	Thermotoga maritima	Bacteria	Thermotogae	COG0085	PRIMARY	1263	1847.8	1065	1	AKE30123.1	594.5
AQTY01000043.1_3	GCA_000372225.1_ASM37222v1	Nitrospina sp. SCGC AAA288-L16	Bacteria	Nitrospinae/Tectomicrobia group	COG0085	SECO	483	296.7	256	1	1	1
AQTY01000043.1_1	GCA_000372225.1_ASM37222v1	Nitrospina sp. SCGC AAA288-L16	Bacteria	Nitrospinae/Tectomicrobia group	COG0085	MAIN	749	1303.2	1053	2	AQTY01000043.1_3;AQTY01000043.1_1	192.0;811.5
AKG91633.1	GCA_001006045.1_ASM100604v1	Geoglobus ahangari	Archaea	Euryarchaeota	COG0085	SECO	489	336.2	439	1	1	1
AKG91634.1	GCA_001006045.1_ASM100604v1	Geoglobus ahangari	Archaea	Euryarchaeota	COG0085	MAIN	604	696.7	1037	2	AKG91633.1;AKG91634.1	301.5;817.5
SFM92293.1	GCA_900114835.1_IMG-taxon_2642422540_annotated_assembly	Methanolobus profundi	Archaea	Euryarchaeota	COG0085	MAIN	604	682.5	1039	2	SFM92310.1;SFM92293.1	297.5;817.5
SFM92310.1	GCA_900114835.1_IMG-taxon_2642422540_annotated_assembly	Methanolobus profundi	Archaea	Euryarchaeota	COG0085	SECO	549	326.5	435	1	1	1
