	domain	phylum	category	COG0085_score	PF09723.9	PF06677.11	PF04561.13	PF04565.15	PF12760.6	PF01551.21	PF07697.10	PF13240.5	PF02132.14	PF14319.5	PF02318.15	PF11181.7	PF07295.10	PF12773.6	TIGR03831	PF07282.10	TIGR04165	PF10080.8	PF08792.9	PF08772.10	TIGR02605	TIGR02386	TIGR02384	PF04563.14	TIGR02388	PF04560.19	PF09297.10	TIGR02013	qlen	PF13597.5	PF00364.21	TIGR03670	PF14803.5	PF03604.12	PF04567.16	PF00562.27	PF08271.11	PF06883.11	PF10385.8	PF13375.5	PF04566.12	PF13248.5	PF13533.5
AFY79148.1	Bacteria	Terrabacteria group	BH	2025.6	0	0	186.4	104.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77.8	0	88.8	0	1734.4	1094	0	0	251.7	0	0	0	536.3	0	0	61.2	0	0	0	0
AFZ66548.1	Bacteria	Terrabacteria group	BH	1854	0	0	52.8	99.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	111.0	0	92.4	0	1504.0	1147	0	0	266.3	0	0	0	516.4	0	0	89.8	0	0	0	0
AFZ71200.1	Archaea	TACK group	BH	974.4	0	0	103.3	91.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	178.4	0	101.5	0	330.0	1172	0	0	941.5	0	0	28.6	420.1	0	0	0	0	74.4	0	0
AFZ72424.1	Archaea	Euryarchaeota	BH	971.5	0	0	93.1	84.8	0	0	0	0	0	0	0	0	0	0	0	13.7	0	0	0	0	0	0	0	168.3	0	102.2	10.2	333.9	1134	0	0	1021.6	0	0	37.3	428.6	0	0	0	0	74.4	0	0
AGA24936.1	Bacteria	PVC group	BH	1866.2	0	0	87.6	93.7	0	25.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83.4	0	84.5	0	1623.2	1235	0	0	276.0	0	0	0	530.5	0	0	62.5	14.2	0	0	12.8
AGA66708.1	Bacteria	Spirochaetes	BH	1996.3	0	0	94.1	102.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100.3	0	85.3	0	1704.3	1173	0	0	280.8	0	0	0	532.3	0	0	96.3	0	0	0	0
AGA76557.1	Bacteria	FCB group	BH	1976.8	0	0	105.9	101.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91.1	0	86.6	0	1838.3	1291	0	0	266.6	0	0	0	512.3	0	0	82.4	0	0	0	0
AGB02078.1	Archaea	Euryarchaeota	BH	961.2	0	11.1	65.4	90.8	0	0	0	0	0	0	0	0	5.6	0	0	0	0	0	0	0	0	0	0	166.6	0	105.0	0	327.7	1126	0	0	979.4	0	0	30.8	432.4	0	0	0	0	65.7	0	0
AGB05258.1	Archaea	Euryarchaeota	BH	1012.5	10.5	6.8	109.6	88.7	9.3	0	0	0	0	0	0	0	6.5	0	0	9.2	0	0	14.7	0	11.4	0	0	116.6	0	88.1	0	336.1	1201	0	0	999.1	0	0	53.9	438.2	6.7	0	0	0	72.2	4.6	0
AGB33395.1	Archaea	Euryarchaeota	BH	965.2	0	10.5	94.9	78.2	0	0	0	0	0	0	0	0	0	0	0	14.6	0	0	0	0	0	0	0	167.8	0	103.9	0	326.1	1135	0	0	1018.3	0	0	34.6	428.3	0	0	0	0	73.3	0	0
AGB36078.1	Archaea	Euryarchaeota	BH	971.3	0	8.8	92.4	84.8	0	0	0	0	0	0	0	0	0	0	0	12.8	0	0	0	0	0	0	0	169.3	0	104.8	9.2	334.8	1133	0	0	1024.1	0	0	34.9	428.1	0	0	0	0	73.4	0	0
AGB50095.1	Archaea	Euryarchaeota	BH	995.3	0	0	94.9	91.2	0	0	0	0	0	0	0	0	15.3	0	0	0	0	0	0	0	0	0	0	181.5	0	102.1	11.6	334.6	1142	0	0	1005.6	0	0	40.8	418.8	0	0	0	0	74.0	0	0
AGE70642.1	Archaea	TACK group	BH	1038.6	0	0	150.6	87.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	194.8	0	101.9	0	326.1	1126	0	0	1034.4	0	0	39.7	423.0	0	0	0	0	78.5	0	0
AGE72915.1	Archaea	TACK group	BH	1038.6	0	0	150.6	87.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	194.8	0	101.9	0	326.1	1126	0	0	1034.4	0	0	39.7	423.0	0	0	0	0	78.5	0	0
AGF51054.1	Bacteria	Terrabacteria group	BH	2010.3	0	0	197.0	99.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81.2	0	88.6	0	1731.3	1102	0	0	247.3	0	0	0	527.8	0	0	68.6	0	0	0	0
AGG06238.1	Bacteria	Terrabacteria group	BH	2001.9	0	0	114.8	102.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70.6	0	91.4	0	1589.4	1273	0	0	255.5	0	0	0	563.4	0	0	77.9	0	0	0	0
AGG07670.1	Bacteria	Terrabacteria group	BH	2001.4	0	0	114.8	102.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70.6	0	91.4	0	1589.2	1273	0	0	254.9	0	0	0	563.4	0	0	76.6	0	0	0	0
AGH82336.1	Bacteria	Proteobacteria	BH	2074.7	0	0	94.6	105.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	174.4	0	92.7	0	1863.5	1344	0	0	232.3	0	0	0	515.6	0	0	82.2	0	0	0	0
AGH96133.1	Bacteria	Proteobacteria	BH	2107.5	0	0	95.3	108.2	0	12.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.4	0	114.9	0	86.3	0	1826.8	1391	0	0	239.3	0	0	0	537.0	0	0	63.0	13.9	0	0	0
AGI48492.1	Archaea	Euryarchaeota	BH	935.4	0	5.0	91.9	89.5	0	0	0	0	0	0	0	0	0	3.1	0	17.2	0	0	0	0	0	0	0	108.4	0	94.7	0	324.0	1207	0	0	929.5	0	0	55.4	413.6	0	0	0	0	70.4	4.9	0
AGI86361.1	Archaea	Euryarchaeota	BH	965.4	0	5.7	86.1	88.6	0	0	0	5.0	0	0	0	0	0	0	0	19.8	0	0	0	0	0	0	0	108.6	0	95.1	0	327.5	1219	0	0	945.8	0	0	57.3	416.7	0	0	0	0	69.2	7.0	0
AGIY02000001.1_399	Archaea	Euryarchaeota	BH	978.7	0	12.3	62.6	91.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	168.6	0	105.5	0	332.1	1107	0	0	992.2	0	0	37.9	440.0	0	0	0	0	70.3	0	0
AGJ63209.1	Archaea	TACK group	BH	1072.9	0	0	141.2	88.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	188.9	0	104.4	0	336.1	1128	0	0	1013.9	0	0	42.5	425.8	0	0	13.2	0	70.8	0	0
AGK60721.1	Archaea	Euryarchaeota	BH	1039.4	0	0	109.9	95.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	143.2	0	111.6	0	335.2	1112	0	0	1040.2	0	0	38.1	434.1	0	0	15.0	0	84.0	0	0
AGM24485.1	Bacteria	Fusobacteria	BH	1984.8	0	0	83.4	105.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81.9	0	88.2	0	1858.9	1184	0	0	292.4	0	0	0	539.9	0	0	69.6	0	0	0	0
AGN02646.1	Archaea	Euryarchaeota	BH	950.8	0	10.1	90.7	82.0	0	0	0	0	0	0	0	0	0	0	0	12.3	0	0	0	0	0	0	0	166.3	0	101.2	13.8	326.2	1131	0	0	1017.1	0	0	33.4	426.3	0	0	0	0	74.1	0	0
AGN16255.1	Archaea	Euryarchaeota	BH	1004.4	0	12.0	87.0	92.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	168.6	0	105.1	0	350.3	1117	0	0	1014.2	0	0	47.9	439.8	0	0	14.9	0	70.0	5.4	0
AGN27232.1	Archaea	Euryarchaeota	BH	975.7	0	0	97.5	88.9	0	0	0	0	0	0	0	0	0	0	0	10.2	0	0	0	0	0	0	0	116.3	0	96.2	0	329.8	1199	0	0	979.3	0	5.6	55.2	422.4	0	0	0	0	68.0	0	0
AGO61159.1	Archaea	Euryarchaeota	BH	994.1	0	0	89.9	89.0	13.4	0	0	0	0	0	0	0	0	0	0	15.0	0	0	0	0	0	0	0	121.8	0	91.6	0	343.2	1195	0	0	1011.3	0	0	43.0	424.0	11.4	0	0	0	78.5	9.1	0
AGP91403.1	Bacteria	Proteobacteria	BH	2122.4	0	0	92.8	104.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.4	0	187.1	0	95.6	0	1923.8	1342	0	0	246.1	0	0	0	529.0	0	0	81.5	0	0	0	0
AGP95204.1	Bacteria	Proteobacteria	BH	2122.4	0	0	92.8	104.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.4	0	187.1	0	95.6	0	1923.8	1342	0	0	246.1	0	0	0	529.0	0	0	81.5	0	0	0	0
AGP99200.1	Bacteria	Proteobacteria	BH	2122.1	0	0	92.7	104.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.4	0	187.1	0	95.7	0	1923.2	1342	0	0	245.1	0	0	0	529.0	0	0	81.5	0	0	0	0
AGQ03367.1	Bacteria	Proteobacteria	BH	2122.1	0	0	92.7	104.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.4	0	187.1	0	95.7	0	1923.2	1342	0	0	245.1	0	0	0	529.0	0	0	81.5	0	0	0	0
AGS39074.1	Bacteria	Proteobacteria	BH	2114.1	0	0	87.9	104.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	141.3	0	92.9	0	1884.9	1359	0	0	255.1	0	0	0	547.3	0	0	92.6	0	0	0	0
AGS61245.1	Bacteria	Proteobacteria	BH	2135.9	0	0	104.5	104.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	191.8	0	97.0	0	1962.5	1342	0	0	239.8	0	0	0	534.7	0	0	91.6	0	0	0	0
AGS66403.1	Bacteria	Spirochaetes	BH	1935.9	0	0	77.1	104.7	0	14.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83.5	0	85.6	0	1663.5	1155	0	0	282.6	0	0	0	523.1	0	0	79.6	0	0	0	18.0
AGT27373.1	Bacteria	Spirochaetes	BH	1930.1	0	0	77.4	106.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84.2	0	83.5	0	1661.6	1155	0	0	278.7	0	0	0	517.5	0	0	82.0	10.9	0	0	18.7
AGT34855.1	Archaea	TACK group	BH	1026.3	0	0	116.2	94.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	177.4	0	104.6	0	359.8	1129	0	0	1001.3	0	0	44.0	419.7	0	0	0	0	77.2	0	0
AGT42944.1	Bacteria	Spirochaetes	BH	1920.8	0	0	81.7	102.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	93.1	0	84.8	0	1719.0	1187	0	0	275.7	0	0	0	516.8	0	0	68.2	0	0	0	0
AGU58682.1	Bacteria	Proteobacteria	BH	2116.4	0	0	91.6	100.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	195.1	0	95.9	0	1909.3	1342	0	0	229.5	0	0	0	528.6	0	0	86.9	0	0	0	0
AGU95077.1	Bacteria	Proteobacteria	BH	2113.1	0	0	97.0	100.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	195.1	0	96.0	0	1907.1	1342	0	0	232.3	0	0	0	526.4	0	0	79.4	0	0	0	0
AGY56356.1	Bacteria	Terrabacteria group	BH	2028.4	0	0	194.3	103.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85.1	0	89.4	0	1723.9	1112	0	0	252.6	0	0	0	530.7	0	0	67.0	14.6	0	0	0
AGY57973.1	Bacteria	Terrabacteria group	NH	672.8	0	0	0	70.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56.4	0	569.8	1002	0	0	181.3	0	0	0	302.8	0	0	0	0	0	0	0
AHB13314.1	Bacteria	Terrabacteria group	BH	2001.7	0	0	114.5	102.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70.7	0	91.4	0	1589.8	1272	0	0	257.0	0	0	0	564.5	0	0	75.7	0	0	0	0
AHB67163.1	Archaea	Euryarchaeota	BH	955.8	0	9.7	93.9	84.9	0	0	0	0	0	0	0	0	0	11.6	0	13.9	0	0	0	13.1	0	0	0	165.4	0	105.1	9.6	329.0	1129	0	0	1030.0	0	0	32.1	424.7	0	0	0	0	75.2	0	0
AHB72209.1	Bacteria	Proteobacteria	BH	2140.4	0	0	88.7	106.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	197.6	0	96.8	0	1976.3	1342	0	0	244.3	0	0	0	534.6	0	0	95.5	0	0	0	0
AHB98907.1	Bacteria	Proteobacteria	BH	1989.6	0	0	100.8	104.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	127.3	0	83.7	0	1759.0	1358	0	0	247.4	0	0	0	534.0	0	0	90.7	0	0	0	0
AHC16056.1	Bacteria	Spirochaetes	BH	1957.1	0	0	92.3	102.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85.0	0	86.1	0	1723.2	1165	0	0	269.6	0	0	0	515.1	0	0	87.7	0	0	0	0
AHC38190.1	Bacteria	Proteobacteria	BH	2124.8	0	0	88.4	107.3	0	0	12.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18.2	0	144.1	0	95.4	0	1879.5	1357	0	0	241.0	0	0	0	537.3	0	0	69.0	0	0	0	0
AHC80531.1	Bacteria	Proteobacteria	BH	2128.4	0	0	90.5	107.1	0	0	12.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.8	0	140.5	0	95.3	0	1885.5	1357	0	0	243.6	0	0	0	540.8	0	0	72.5	0	0	0	0
AHC85963.1	Bacteria	Proteobacteria	BH	2128.4	0	0	90.5	107.1	0	0	12.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.8	0	140.5	0	95.3	0	1885.5	1357	0	0	243.6	0	0	0	540.8	0	0	72.5	0	0	0	0
AHD12591.1	Bacteria	Proteobacteria	BH	2128.4	0	0	90.5	107.1	0	0	12.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.8	0	140.5	0	95.3	0	1885.5	1357	0	0	243.6	0	0	0	540.8	0	0	72.5	0	0	0	0
AHD17784.1	Bacteria	Thermotogae	BH	1847.8	0	0	33.1	100.4	0	12.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80.8	0	90.7	0	1436.4	1263	0	0	235.5	0	0	0	510.0	0	0	83.8	0	0	0	0
AHE51364.1	Bacteria	Proteobacteria	BH	2124.8	0	0	96.1	104.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	187.5	0	96.3	0	1916.9	1342	0	0	239.8	0	0	0	519.6	0	0	86.1	0	0	0	0
AHE59809.1	Bacteria	Proteobacteria	BH	2153.7	0	0	89.5	106.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.3	197.0	0	96.8	0	1990.8	1342	0	0	248.4	0	0	0	539.0	0	0	99.8	0	0	0	0
AHE62713.1	Bacteria	Spirochaetes	BH	1928.4	0	0	86.2	106.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82.8	0	82.9	0	1660.0	1155	0	0	278.5	0	0	0	515.9	0	0	79.0	0	0	0	19.1
AHE72226.1	Bacteria	Proteobacteria	BH	2147.6	0	0	89.4	106.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	198.2	0	96.8	0	1982.1	1342	0	0	245.9	0	0	0	534.2	0	0	98.9	0	0	0	0
AHF57217.1	Bacteria	Terrabacteria group	BH	1899.4	0	0	83.6	105.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45.2	0	90.7	0	1501.0	1296	0	0	285.8	0	0	0	529.4	0	0	74.6	0	0	0	13.7
AHF64492.1	Bacteria	Terrabacteria group	BH	1967.1	0	0	157.7	106.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85.1	0	87.9	0	1664.5	1097	0	0	236.8	0	0	0	508.9	0	0	55.2	0	0	0	0
AHF79721.1	Archaea	Euryarchaeota	BH	1093.5	0	15.4	131.4	105.8	0	0	0	0	0	11.4	0	0	0	0	16.7	0	15.8	0	0	12.2	0	0	0	186.0	0	107.4	0	345.5	1118	11.9	0	1066.2	0	0	36.9	443.7	15.2	0	0	0	70.8	0	0
AHF89664.1	Bacteria	PVC group	BH	2024.6	0	0	92.7	109.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92.1	0	90.6	0	1786.2	1267	0	0	285.2	0	0	0	530.7	0	0	85.2	0	0	0	0
AHF98359.1	Archaea	Euryarchaeota	BH	955.5	0	9.0	93.6	84.8	0	0	0	0	0	0	0	0	0	0	0	12.9	0	0	0	0	0	0	0	166.5	0	102.9	9.7	327.2	1135	0	0	1022.1	0	0	38.7	422.8	0	0	0	0	74.9	0	0
AHG02775.1	Archaea	Euryarchaeota	BH	958.9	0	10.5	97.3	84.9	0	0	0	0	0	0	0	0	0	11.8	0	15.2	0	0	0	12.3	0	0	0	166.8	0	106.4	10.4	332.4	1128	0	0	1003.9	0	0	34.0	423.3	15.1	0	0	0	75.7	8.0	0
AHG90304.1	Bacteria	FCB group	BH	2019.1	0	0	106.3	100.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	101.0	0	93.0	0	1757.1	1566	0	0	236.7	0	0	0	506.4	0	0	77.5	0	0	0	15.4
AHI06700.1	Bacteria	Proteobacteria	BH	2116.5	0	0	90.9	109.1	0	14.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.1	0	115.0	0	87.7	0	1852.2	1400	0	0	238.5	0	0	0	540.5	0	0	53.6	0	0	0	0
AHJ99209.1	Bacteria	FCB group	BH	2004	0	0	108.9	101.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88.6	0	83.9	0	1856.6	1300	0	0	276.8	0	0	0	519.9	0	0	80.4	0	0	0	0
AHJK01000001.1_2080	Archaea	TACK group	BH	1072.9	0	0	141.2	88.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	188.9	0	104.4	0	336.2	1129	0	0	1013.9	0	0	42.5	425.8	0	0	13.2	0	70.8	0	0
AHJL01000005.1_980	Archaea	TACK group	BH	954.7	0	0	78.7	72.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	158.1	0	104.6	0	294.3	998	0	0	1014.4	0	0	42.8	426.1	0	0	13.5	0	71.0	0	0
AHJM01000003.1_1078	Archaea	TACK group	BH	1072.9	0	0	141.2	88.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	188.9	0	104.4	0	336.2	1129	0	0	1013.9	0	0	42.5	425.8	0	0	13.2	0	70.8	0	0
AHJN01000003.1_980	Archaea	TACK group	BH	1073.2	0	0	141.2	88.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	188.9	0	104.4	0	336.1	1132	0	0	1013.9	0	0	42.5	425.8	0	0	13.1	0	70.8	0	0
AHJO01000001.1_2033	Archaea	TACK group	BH	1072.9	0	0	141.2	88.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	188.9	0	104.4	0	336.2	1129	0	0	1013.9	0	0	42.5	425.8	0	0	13.2	0	70.8	0	0
AHJP01000004.1_1026	Archaea	TACK group	BH	1072.9	0	0	141.2	88.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	188.9	0	104.4	0	336.2	1129	0	0	1013.9	0	0	42.5	425.8	0	0	13.2	0	70.8	0	0
AHJQ01000001.1_2069	Archaea	TACK group	BH	1072.9	0	0	141.2	88.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	188.9	0	104.4	0	336.2	1129	0	0	1013.9	0	0	42.5	425.8	0	0	13.2	0	70.8	0	0
AHJR01000001.1_1998	Archaea	TACK group	BH	1072.9	0	0	141.2	88.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	188.9	0	104.4	0	336.2	1129	0	0	1013.9	0	0	42.5	425.8	0	0	13.2	0	70.8	0	0
AHJS01000002.1_1124	Archaea	TACK group	BH	1063.8	0	0	141.6	88.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	189.1	0	104.5	0	343.1	1059	0	0	918.8	0	0	42.9	426.5	0	0	13.4	0	0	0	0
AHJT01000001.1_2111	Archaea	TACK group	BH	1072.9	0	0	141.2	88.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	188.9	0	104.4	0	336.2	1129	0	0	1013.9	0	0	42.5	425.8	0	0	13.2	0	70.8	0	0
AHL21818.1	Archaea	Euryarchaeota	BH	1087.6	0	15.3	134.3	103.0	0	0	0	0	0	11.9	0	0	0	0	16.1	0	15.4	0	0	14.4	0	0	0	181.7	0	109.4	0	340.4	1123	9.0	0	1058.2	0	0	36.7	441.4	14.1	0	0	0	70.8	0	0
AHN66940.1	Bacteria	Spirochaetes	BH	1927.2	0	0	93.8	103.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84.5	0	86.9	0	1816.4	1178	0	0	281.1	0	0	0	519.6	0	0	63.3	0	0	0	0
AHZ22516.1	Archaea	Euryarchaeota	BH	952.6	0	0	94.5	85.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	165.4	0	86.1	0	332.2	1130	0	0	998.3	0	0	36.6	426.9	0	0	0	0	78.1	0	0
AIA30729.1	Bacteria	Nitrospirae	BH	2055.2	0	0	101.9	105.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	111.4	0	87.6	0	1782.0	1718	0	0	274.8	0	0	0	557.8	0	0	75.0	0	0	0	0
AIA46607.1	Bacteria	Proteobacteria	BH	2144	0	0	89.0	106.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	194.5	0	96.2	0	1975.2	1342	0	0	251.2	0	0	0	538.2	0	0	97.6	0	0	0	0
AIA54491.1	Bacteria	Proteobacteria	BH	2143.9	0	0	80.7	108.8	0	0	13.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	137.4	0	92.7	0	1900.8	1362	0	0	251.1	0	0	0	549.6	0	0	84.5	0	0	0	0
AIA69242.1	Bacteria	Proteobacteria	BH	2136.9	0	0	95.8	106.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.1	190.0	0	97.4	0	1969.2	1342	0	0	253.9	0	0	0	536.9	0	0	93.9	0	0	0	0
AIC09129.1	Bacteria	Proteobacteria	BH	2066.2	0	0	80.9	94.8	0	0	12.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	142.8	0	94.9	0	1816.5	1384	0	0	245.2	0	0	0	533.0	0	0	85.2	0	0	0	0
AIC13425.1	Bacteria	Proteobacteria	BH	2066.9	0	0	80.9	94.8	0	0	14.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	142.8	0	94.9	0	1817.8	1384	0	0	244.9	0	0	0	532.2	0	0	85.2	0	0	0	0
AIC15589.1	Archaea	TACK group	BH	941.6	0	0	75.9	98.0	12.3	0	0	0	0	0	13.0	0	0	0	0	11.3	0	14.5	0	0	0	0	0	139.4	0	112.6	0	328.5	1085	0	0	887.4	0	0	37.5	410.7	8.4	0	0	0	67.2	0	0
AIC22762.1	Bacteria	Proteobacteria	BH	2123.9	0	0	91.7	105.6	0	0	13.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18.6	0	144.2	0	95.2	0	1877.1	1357	0	0	238.5	0	0	0	536.0	0	0	74.5	0	0	0	0
AID26596.1	Bacteria	Proteobacteria	BH	2148.5	0	0	88.5	106.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.4	198.2	0	96.8	0	1987.5	1342	0	0	245.9	0	0	0	536.2	0	0	99.4	0	0	0	0
AID87762.1	Bacteria	Proteobacteria	BH	2146.9	0	0	92.9	106.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.8	196.0	0	96.8	0	1982.2	1342	0	0	250.7	0	0	0	536.5	0	0	99.5	0	0	0	0
AIE75134.1	Bacteria	Terrabacteria group	BH	2012	0	0	195.7	99.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81.2	0	88.6	0	1733.0	1102	0	0	248.4	0	0	0	528.3	0	0	68.6	0	0	0	0
AIE86838.1	Bacteria	Terrabacteria group	BH	1815.1	0	0	84.8	98.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69.0	0	91.4	0	1525.7	1343	0	0	227.2	0	0	0	480.6	0	0	72.6	0	0	0	0
AIF68964.1	Archaea	Euryarchaeota	BH	1083.2	0	13.1	138.1	104.6	0	0	0	0	0	0	0	0	0	0	7.1	0	0	0	0	14.3	0	0	0	174.3	0	106.0	0	340.8	1118	10.7	0	1058.5	0	0	40.6	443.1	9.8	0	0	0	71.2	0	0
AIG98881.1	Archaea	Euryarchaeota	NH	338	0	0	102.3	94.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	140.1	0	0	0	103.9	512	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AIG98882.1	Archaea	Euryarchaeota	NH	688.1	0	0	0	0	0	0	0	0	11.5	0	0	15.8	0	0	12.9	0	0	0	0	0	0	0	0	0	0	114.7	0	243.9	604	0	0	1035.9	0	0	38.0	428.5	0	0	14.3	0	85.4	0	0
AIH04765.1	Bacteria	Thermodesulfobacteria	BH	2008.4	0	0	95.2	97.6	0	0	5.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18.4	0	91.4	0	86.0	0	1767.3	1362	0	0	257.2	0	0	0	550.7	0	0	68.3	0	0	0	14.6
AII44231.1	Bacteria	Terrabacteria group	BH	1967	0	0	156.9	106.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84.5	0	87.9	0	1668.0	1097	0	0	242.1	0	0	0	510.1	0	0	56.0	0	0	0	0
AII45918.1	Bacteria	Terrabacteria group	BH	1965.5	0	0	155.9	106.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85.1	0	88.0	0	1665.1	1097	0	0	237.5	0	0	0	508.9	0	0	55.5	0	0	0	0
AII48674.1	Bacteria	Terrabacteria group	BH	1969.2	0	0	157.7	106.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85.1	0	87.9	0	1665.7	1097	0	0	236.0	0	0	0	511.8	0	0	52.5	0	0	0	0
AII57743.1	Bacteria	Terrabacteria group	BH	2001.7	0	0	114.5	102.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70.7	0	91.4	0	1589.8	1272	0	0	257.0	0	0	0	564.5	0	0	75.7	0	0	0	0
AII59283.1	Bacteria	Terrabacteria group	BH	2006.2	0	0	112.7	102.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70.1	0	92.5	0	1592.4	1272	0	0	258.5	0	0	0	570.1	0	0	77.6	0	0	0	0
